area_id,area_name,U5MR,IMR
11110,Jongno-gu,0.2407,0.0000
11140,Jung-gu,1.7830,1.6380
11170,Yongsan-gu,1.7483,1.7483
11200,Seongdong-gu,2.2070,2.0337
11215,Gwangjin-gu,2.5923,2.4327
11230,Dongdaemun-gu,0.9423,0.9020
11260,Jungnang-gu,2.3560,2.1987
11290,Seongbuk-gu,1.6063,1.5023
11305,Gangbuk-gu,3.9357,3.8070
11320,Dobong-gu,1.4123,1.3660
11350,Nowon-gu,2.2870,2.2170
11380,Eunpyeong-gu,1.3147,1.2523
11410,Seodaemun-gu,2.1313,1.9777
11440,Mapo-gu,0.8840,0.8427
11470,Yangcheon-gu,2.1537,2.0207
11500,Gangseo-gu,2.6823,2.5697
11530,Guro-gu,3.1913,3.0263
11545,Geumcheon-gu,0.7570,0.6760
11560,Yeongdeungpo-gu,1.8317,1.7987
11590,Dongjak-gu,1.6417,1.6417
11620,Gwanak-gu,2.2880,2.2067
11650,Seocho-gu,1.1663,1.1380
11680,Gangnam-gu,1.5467,1.3880
11710,Songpa-gu,1.4677,1.4110
11740,Gangdong-gu,1.1073,0.8907
26110,Jung-gu,8.6580,8.6580
26140,Seo-gu,1.9437,1.9437
26170,Dong-gu,0.9457,0.9457
26200,Yeongdo-gu,5.7807,5.7807
26230,Busanjin-gu,2.7320,2.6463
26260,Dongnae-gu,1.2390,1.0877
26290,Nam-gu,2.4733,2.3457
26320,Buk-gu,1.9473,1.8027
26350,Haeundae-gu,3.0720,2.8087
26380,Saha-gu,2.5673,2.4793
26410,Geumjeong-gu,3.1593,2.9053
26440,Gangseo-gu,3.9740,3.8053
26470,Yeonje-gu,3.0970,3.0320
26500,Suyeong-gu,2.4150,2.1503
26530,Sasang-gu,3.1080,3.1080
26710,Gijang-gun,0.7480,0.5853
27110,Jung-gu,3.2123,3.2123
27140,Dong-gu,3.9700,3.7580
27170,Seo-gu,4.8767,4.6457
27200,Nam-gu,8.0390,8.0390
27230,Buk-gu,3.8093,3.6853
27260,Suseong-gu,2.9530,2.8673
27290,Dalseo-gu,2.7577,2.6720
27710,Dalseong-gun,4.3940,4.2127
28110,Jung-gu,4.5477,4.4680
28140,Dong-gu,0.0000,0.0000
28185,Yeonsu-gu,2.4427,2.4150
28200,Namdong-gu,3.5713,3.4893
28237,Bupyeong-gu,2.3933,2.2043
28245,Gyeyang-gu,1.1170,1.0683
28260,Seo-gu,2.3460,2.1943
28177,Michuhol-gu,3.9107,3.6803
28710,Ganghwa-gun,1.3937,1.0963
28720,Ongjin-gun,4.5663,4.5663
29110,Dong-gu,4.1130,4.1130
29140,Seo-gu,1.8923,1.7970
29155,Nam-gu,2.9420,2.6793
29170,Buk-gu,1.9720,1.7430
29200,Gwangsan_gu,2.2733,2.2213
30110,Dong-gu,3.0847,2.8220
30140,Jung-gu,4.4253,4.3560
30170,Seo-gu,2.3080,2.1150
30200,Yuseong-gu,2.0170,1.9350
30230,Daedeok-gu,4.2097,4.0310
31110,Jung-gu,2.0267,1.7563
31140,Nam-gu,2.3877,2.3030
31170,Dong-gu,2.7507,2.6330
31200,Buk-gu,0.7973,0.7973
31710,Ulju-gun,1.2677,1.0467
36110,Sejong_teugbyeoljachi-si,1.3103,1.1940
41110,Suwon-si,2.8780,2.7573
41130,Seongnam-si,1.9937,1.8373
41150,Uijeongbu-si,1.2890,1.1507
41170,Anyang-si,2.7527,2.6050
41190,Bucheon-si,2.0760,2.0250
41210,Gwangmyeong-si,1.9680,1.8823
41220,Pyeongtaek-si,3.9297,3.8000
41250,Dongducheon-si,3.8957,3.5153
41270,Ansan-si,3.0873,3.0873
41280,Goyang-si,1.7183,1.6420
41290,Gwacheon-si,1.7547,1.5933
41310,Guri-si,2.0840,1.9607
41360,Namyangju-si,1.7397,1.6790
41370,Osan-si,3.1600,2.9310
41390,Siheung-si,2.7293,2.5227
41410,Gunpo-si,1.3613,1.3190
41430,Uiwang-si,1.7890,1.7890
41450,Hanam-si,1.4143,1.2687
41460,Yongin-si,2.2260,2.1007
41480,Paju-si,2.7423,2.5927
41500,Icheon-si,1.9563,1.6023
41550,Anseong-si,2.7647,2.3850
41570,Gimpo-si,1.9830,1.8910
41590,Hwaseong-si,2.5347,2.3983
41610,Gwangju-si,2.0710,1.8297
41630,Yangju-si,1.2170,1.0650
41650,Pocheon-si,1.9207,1.6837
41670,Yeoju-si,1.8917,1.4913
41800,Yeoncheon-gun,4.3277,4.3277
41820,Gapyeong-gun,3.8010,2.6647
41830,Yangpyeong-gun,2.1810,2.0513
42110,Chuncheon-si,2.1820,1.9553
42130,Wonju-si,4.0520,3.8767
42150,Gangneung-si,1.5937,1.4463
42170,Donghae-si,4.2980,4.1260
42190,Taebaek-si,6.2197,5.3547
42210,Sokcho-si,3.4500,3.4500
42230,Samcheok-si,4.1840,4.1840
42720,Hongcheon-gun,4.2367,3.7523
42730,Hoengseong-gun,2.8680,2.4510
42750,Yeongwol-gun,3.5650,3.5650
42760,Pyeongchang-gun,6.3203,6.3203
42770,Jeongseon-gun,6.0647,4.9020
42780,Cheorwon-gun,7.2473,7.2473
42790,Hwacheon-gun,6.5917,6.1380
42800,Yanggu-gun,6.3397,6.3397
42810,Inje-gun,1.8077,1.4717
42820,Goseong-gun,0.0000,0.0000
42830,Yangyang-gun,0.0000,0.0000
43130,Chungju-si,4.3620,4.2333
43150,Jecheon-si,4.0937,3.9787
43110,Cheongju-si,3.9230,3.7600
43720,Boeun-gun,3.2050,3.2050
43730,Okcheon-gun,4.2713,3.7987
43740,Yeongdong-gun,1.5017,0.0000
43750,Jincheon-gun,3.8780,3.8780
43760,Goesan-gun,4.3860,4.3860
43770,Eumseong-gun,8.0380,7.7130
43800,Danyang-gun,0.0000,0.0000
43745,Jeungpyeong-gun,0.2567,0.0000
44130,Cheonan-si,2.8017,2.5573
44150,Gongju-si,3.4630,3.2603
44180,Boryeong-si,1.2993,0.7973
44200,Asan-si,2.7110,2.5073
44210,Seosan-si,2.0293,1.8307
44230,Nonsan-si,2.7597,2.7597
44250,Gyeryong-si,3.6297,3.6297
44270,Dangjin-si,2.0743,2.0053
44710,Geumsan-gun,0.0000,0.0000
44760,Buyeo-gun,1.9267,1.9267
44770,Seocheon-gun,0.0000,0.0000
44790,Cheongyang-gun,0.0000,0.0000
44800,Hongseong-gun,1.3460,1.3460
44810,Yesan-gun,2.5030,1.6103
44825,Taean-gun,3.6547,3.6547
45110,Jeonju-si,1.9027,1.7890
45130,Gunsan-si,2.0447,1.9423
45140,Iksan-si,4.0957,3.9777
45180,Jeongeup-si,1.9020,1.9020
45190,Namwon_si,1.4033,0.9863
45210,Gimje-si,0.0000,0.0000
45710,Wanju-gun,2.9117,2.7420
45720,Jinan-gun,0.7900,0.0000
45730,Muju-gun,0.0000,0.0000
45740,Jangsu-gun,5.0127,5.0127
45750,Imsil-gun,0.6573,0.0000
45770,Sunchang-gun,6.7760,6.7760
45790,Gochang-gun,5.4300,5.4300
45800,Buan-gun,0.4603,0.0000
46110,Mokpo-si,4.1623,3.8430
46130,Yeosu-si,2.7867,2.6533
46150,Suncheon-si,2.3387,2.1280
46170,Naju-si,2.3197,2.3197
46230,Gwangyang-si,1.1540,1.0877
46710,Damyang-gun,6.8273,6.8273
46720,Gokseong-gun,6.4103,6.4103
46730,Gurye-gun,0.0000,0.0000
46770,Goheung-gun,5.7487,5.3817
46780,Boseong-gun,0.0000,0.0000
46790,Hwasun-gun,2.3797,1.8017
46800,Jangheung-gun,8.9157,8.4210
46810,Gangjin-gun,5.1603,5.1603
46820,Haenam-gun,2.8473,2.3900
46830,Yeongam-gun,4.0900,4.0900
46840,Muan-gun,2.2353,2.2353
46860,Hampyeong-gun,0.0000,0.0000
46870,Yeonggwang-gun,1.4730,1.4730
46880,Jangseong-gun,0.0000,0.0000
46890,Wando-gun,0.0000,0.0000
46900,Jindo-gun,8.6990,8.0587
46910,Sinan-gun,0.6767,0.0000
47110,Pohang-si,2.3450,2.2240
47130,Gyeongju-si,1.0600,0.9487
47150,Gimcheon-si,4.0547,3.7840
47170,Andong-si,3.3457,3.2420
47190,Gumi-si,2.5283,2.4253
47210,Yeongju-si,1.8717,1.8717
47230,Yeongcheon-si,3.7553,3.6013
47250,Sangju-si,0.2097,0.0000
47280,Mungyeong-si,3.1767,3.1767
47290,Gyeongsan-si,3.1543,2.9710
47720,Gunwi-gun,1.2847,0.0000
47730,Uiseong-gun,1.9550,1.9550
47750,Cheongsong-gun,1.0303,0.0000
47760,Yeongyang-gun,0.0000,0.0000
47770,Yeongdeok-gun,0.5787,0.0000
47820,Cheongdo-gun,2.8370,2.8370
47830,Goryeong-gun,3.6233,3.6233
47840,Seongju-gun,0.4057,0.0000
47850,Chilgok-gun,3.8897,3.4417
47900,Yecheon-gun,3.1060,3.1060
47920,Bonghwa-gun,0.0000,0.0000
47930,Uljin-gun,0.0000,0.0000
47940,Ulleung-gun,0.0000,0.0000
48170,Jinju-si,2.5633,2.4487
48220,Tongyeong-si,3.9860,3.8840
48240,Sacheon-si,5.3703,4.9993
48250,Gimhae-si,2.5000,2.3780
48270,Miryang-si,1.0153,0.8387
48310,Geoje-si,2.5770,2.4943
48330,Yangsan-si,3.6943,3.6943
48120,Changwon-si,3.2650,3.1463
48720,Uiryeong-gun,3.9920,3.9920
48730,Haman-gun,0.0000,0.0000
48740,Changnyeong-gun,0.0000,0.0000
48820,Goseong-gun,6.4877,5.9247
48840,Namhae-gun,3.5460,3.5460
48850,Hadong-gun,2.6773,2.6773
48860,Sancheong-gun,0.0000,0.0000
48870,Hamyang-gun,10.5487,10.5487
48880,Geochang-gun,0.0000,0.0000
48890,Hapcheon-gun,9.8670,9.8670
50110,Jeju-si,3.3260,3.1703
50130,Seogwipo-si,3.3847,3.1893
